HI_2500_2999_Tot,HI_600_799_Tot,HI_4000_more_Tot,Negative_Nil_income_Tot,HI_3500_3999_Tot,HI_1500_1999_Tot,Tot_Tot,HI_1_199_Tot,HI_400_599_Tot,HI_800_999_Tot,HI_300_399_Tot,HI_2000_2499_Tot,HI_200_299_Tot,HI_3000_3499_Tot,HI_1250_1499_Tot,HI_1000_1249_Tot,area_code
4613,4488,1460,589,1232,7706,60967,672,4391,4412,2899,6201,1348,2906,4693,5084,37010
2077,4593,517,589,487,4671,44653,824,5013,3762,4446,3386,1938,1134,3247,3860,45890
244,477,47,43,55,540,5031,73,539,428,412,362,227,146,360,391,46090
241,610,70,53,42,541,5520,80,686,488,508,367,209,138,399,464,46300
235,754,55,57,39,630,7011,163,1069,597,878,423,350,128,460,492,46450
10,25,0,4,3,16,165,3,0,19,6,5,6,3,13,18,30900
39421,25483,19373,5327,11808,45125,380774,4639,26051,25293,18460,35862,7758,24808,26796,28076,31000
4,9,0,0,0,21,111,0,12,14,7,6,6,3,8,15,34570
7,8,0,3,0,13,120,0,11,16,10,12,0,3,11,6,31750
1197,4078,313,389,213,2965,34031,600,5263,3256,2982,1871,1233,680,2375,2734,31820
294,639,98,89,56,705,6490,99,710,597,520,491,173,175,500,553,31900
10,11,4,0,0,7,117,0,6,14,3,11,3,0,12,14,31950
3253,5252,872,734,714,6822,57127,839,5248,5042,3332,4790,1677,1904,4558,4886,32070
26,55,8,11,5,63,642,21,53,51,41,43,20,17,39,56,32250
388,1156,125,183,63,1039,10311,176,1247,941,756,631,336,209,859,840,32260
1508,408,563,116,352,997,8971,104,433,386,315,710,155,739,495,472,32270
245,383,52,67,48,391,4207,79,468,328,345,279,131,143,284,298,32310
5,55,0,0,3,19,247,3,29,31,20,7,21,3,14,37,32330
79,57,34,6,25,118,910,8,60,51,38,68,23,47,68,65,32450
45,144,17,26,3,139,1335,38,148,108,144,67,60,20,80,108,32500
7,8,0,3,0,19,106,0,10,6,8,3,4,0,5,6,32600
5637,8150,1556,885,1383,12147,91295,1023,7954,7345,4431,9217,1858,3168,7890,8494,34590
71,123,22,35,10,172,1527,25,142,107,90,152,38,54,125,136,34710
3846,2247,1461,373,1113,4433,38563,436,2686,2301,1852,3502,704,2539,2459,2450,34770
9,29,13,9,8,38,298,3,24,23,17,13,3,10,24,24,34800
13,35,4,6,3,29,381,12,35,38,27,22,11,6,31,31,36150
3954,3832,1463,458,1086,6140,49172,578,4379,3571,2954,4976,997,2456,3583,3576,36250
4,13,0,0,0,17,101,0,10,11,0,3,6,3,8,9,32750
6,31,3,0,3,17,184,7,21,18,9,3,17,3,18,24,35670
121,475,37,97,12,322,3986,99,573,385,368,180,126,70,296,269,35760
23,84,7,6,8,67,564,9,59,54,27,43,24,9,46,51,35780
9,32,4,0,4,22,215,3,23,20,0,21,9,4,24,34,32770
16,40,8,13,0,21,344,13,46,21,33,18,10,3,27,20,33100
34,73,11,22,6,59,666,15,58,55,61,42,16,14,52,46,33200
1061,4676,237,427,182,2964,36749,687,6037,3807,3525,1827,1318,529,2305,2874,33220
2474,1070,894,229,627,2342,19406,223,1406,1012,891,1715,365,1512,1193,1085,33360
11721,16732,4050,2957,2743,21391,181619,2683,17461,15987,10102,15363,4558,6823,14580,15511,33430
3,11,0,0,0,4,68,0,7,11,7,3,3,0,6,10,34830
274,353,99,95,61,506,4447,80,359,355,238,380,131,183,329,318,34860
9436,11683,2775,1122,2295,16533,132605,1498,13024,10600,7456,12740,2805,5658,10448,11042,35010
11,37,3,0,0,29,245,6,23,25,16,20,10,6,17,26,35250
938,305,480,71,301,766,6403,53,281,289,230,535,87,618,324,333,35300
71,165,29,24,8,177,1656,24,161,130,154,121,48,38,105,138,35600
20,44,0,0,4,51,384,4,26,31,11,34,18,17,36,73,35790
27,62,7,14,3,51,708,20,72,65,70,46,37,15,51,58,35800
10,26,0,0,0,23,160,4,14,18,0,9,6,3,15,28,36070
168,13,97,10,43,145,1001,6,14,32,3,111,5,119,53,48,37300
611,1020,203,180,111,1260,10950,181,1164,911,789,799,313,324,851,883,37310
780,956,166,152,133,1281,10848,162,1047,913,631,835,280,411,803,851,37340
1150,1821,373,255,286,2043,18710,349,2061,1614,1463,1539,569,741,1336,1495,40910
68,133,11,12,11,153,1272,25,132,122,83,91,31,35,105,105,41010
2385,4099,783,499,660,4403,42457,742,4677,3548,3852,3290,1563,1534,2956,3520,41060
155,380,31,30,30,357,3400,70,390,352,285,236,120,76,264,290,41140
58,193,10,31,3,135,1781,58,235,192,169,89,80,17,136,190,42750
795,533,324,680,178,844,8178,288,544,533,491,489,359,364,520,565,40070
1318,966,582,111,366,1658,13613,161,945,1018,555,1325,224,858,1012,1056,40120
341,1208,78,105,57,918,9505,182,1389,1035,803,501,284,164,687,820,40220
21,43,0,11,3,43,548,13,56,54,52,30,30,13,37,39,37400
26,61,4,10,3,49,709,24,74,54,118,20,37,12,42,57,41330
140,685,41,62,26,469,5354,99,935,520,597,222,221,79,357,405,41560
13,54,5,12,3,36,425,13,67,47,35,22,8,5,22,36,41750
0,41,0,0,0,17,223,4,37,27,16,11,15,3,18,23,37550
7,51,6,10,0,29,412,14,55,40,41,19,20,8,34,22,43080
6,19,3,9,0,13,176,6,21,22,15,11,3,3,10,15,54690
476,282,191,73,122,497,4586,63,231,274,172,462,138,294,290,298,50980
14,42,3,13,4,35,400,9,41,42,35,29,16,3,20,37,51080
18,38,8,12,0,28,392,8,55,36,36,23,10,9,21,27,51120
950,1088,275,123,197,1349,12330,181,1281,938,905,845,414,531,897,943,51190
641,993,208,127,130,1209,10998,155,1257,962,712,829,304,378,810,835,51260
1348,443,1148,94,468,755,8968,97,441,499,313,515,134,811,472,455,51310
4,5,0,0,0,9,69,6,11,5,4,3,4,3,9,6,37570
11,70,3,0,4,51,423,6,40,50,15,38,25,0,44,55,37600
140,275,32,19,30,421,2918,49,266,272,163,232,73,87,268,295,43920
814,562,212,85,210,975,7927,105,649,512,379,678,161,463,558,499,53990
2894,2092,1228,554,828,3427,30077,484,2160,2060,1629,2623,682,1696,2058,2249,51330
557,303,112,47,113,630,4654,54,304,281,175,461,74,287,314,290,51400
8,23,3,6,0,32,219,3,27,8,18,11,8,3,17,20,51470
137,159,38,32,36,199,1949,33,192,148,124,116,62,74,132,141,51540
32,59,0,0,3,85,526,9,46,42,35,39,25,0,49,69,40250
484,782,117,74,73,1021,8508,107,895,766,631,794,204,296,677,765,40310
32,116,16,19,6,65,1029,22,192,109,109,44,54,26,61,54,40430
112,478,39,40,13,407,4173,100,661,382,425,224,175,69,309,336,40520
52,143,12,19,8,81,1153,31,161,105,108,66,42,20,83,73,44830
203,874,46,78,48,711,7507,148,1070,772,749,407,329,92,619,639,45040
14,100,0,6,0,31,780,27,135,73,155,20,46,9,34,51,45540
1736,1205,1140,281,597,1583,16595,246,1259,1258,786,1156,336,1144,1071,1147,40700
22,67,4,17,4,73,689,22,73,81,68,33,17,18,69,62,41190
108,434,33,50,15,306,3588,71,489,392,352,197,127,50,294,316,46670
30,76,9,9,7,61,685,14,91,34,59,39,33,19,51,56,41830
18,46,9,12,6,55,479,11,81,35,38,25,14,12,34,30,41960
12,70,3,8,0,47,542,8,75,53,36,44,25,5,44,41,46860
330,17,154,15,99,151,1321,3,4,12,0,114,4,173,64,36,46970
1947,5052,397,473,365,5717,47366,730,5281,4696,3408,3700,1428,994,3969,4766,47140
20,99,10,17,3,84,831,20,110,97,80,44,25,10,60,78,47290
386,874,88,67,59,914,8176,99,1069,751,744,624,247,236,569,691,42030
28,211,16,26,11,132,1682,37,258,160,196,70,66,24,123,141,42110
144,264,42,33,30,334,2717,52,227,246,133,241,69,84,262,231,42250
25,88,8,21,8,74,756,21,102,75,62,39,26,12,47,47,47490
76,321,28,47,12,259,2470,46,267,282,171,149,59,38,244,238,47630
2362,3215,611,253,581,4792,35963,412,3349,3262,2032,3739,759,1405,2884,3180,47700
44,281,17,26,8,156,2118,56,324,228,204,84,73,30,168,185,47800
31,114,8,16,11,98,1049,26,169,90,115,49,41,23,72,80,47910
25,70,10,13,9,65,750,19,92,77,50,43,33,25,71,62,54550
898,3379,164,252,152,3113,29005,552,3737,2731,2512,1910,1269,445,2143,2794,45680
1159,1324,509,157,318,1489,14835,195,1501,1313,1099,1048,421,775,1025,1109,42600
24,34,9,11,3,53,411,6,52,39,32,20,5,13,36,37,43220
25,107,5,16,4,72,926,16,146,107,76,48,35,17,68,77,43360
306,425,75,38,59,652,4789,70,420,393,243,471,92,180,456,425,43650
74,155,25,26,10,171,1735,29,205,169,100,131,51,46,156,173,43710
133,542,40,56,20,434,4474,116,633,427,470,253,169,77,335,395,43790
4,0,0,0,0,0,24,0,6,0,3,0,7,0,0,0,44000
1982,3156,454,376,424,3908,33838,541,3525,2915,2963,3009,1189,1137,2378,2844,44060
78,411,23,47,5,243,3288,60,525,356,374,142,148,26,241,279,44210
2118,1823,964,217,672,2625,23762,291,2043,1860,1309,2115,503,1497,1664,1789,44340
733,909,207,93,165,1439,10896,145,1049,908,603,1075,227,398,881,940,44550
363,1147,82,91,59,1139,10219,193,1293,956,1005,691,459,176,733,939,44620
93,317,47,47,37,363,3122,55,323,347,205,213,76,68,265,326,45090
54,193,22,22,3,160,1840,42,271,162,188,114,74,35,140,171,45120
1170,1212,552,281,345,1512,15003,293,1457,1207,1189,994,573,704,1010,1147,45290
3001,6229,654,472,622,7429,60524,843,6676,5636,4139,5262,1714,1623,5115,5551,45340
18,32,7,3,0,38,355,4,44,40,30,19,16,4,20,31,45400
619,595,294,94,229,872,7823,125,634,570,515,669,228,499,578,601,46510
1495,1067,868,200,468,1558,14635,213,1163,988,887,1000,355,973,991,1062,47980
166,822,38,64,21,412,5745,113,1060,661,581,200,192,69,375,492,48050
71,310,24,38,6,247,2565,39,343,260,274,136,93,40,179,241,48130
77,35,32,10,24,53,579,8,33,25,27,42,9,47,35,23,50630
23,51,3,11,3,60,616,19,78,53,62,43,14,15,39,41,50770
88,177,14,20,7,169,1726,42,240,141,160,100,63,49,110,136,50840
11,36,7,10,3,23,338,7,33,29,25,22,21,6,24,27,50910
278,202,214,34,95,271,2740,60,180,166,192,167,93,183,154,183,48260
175,519,37,71,27,475,4603,96,607,438,420,302,188,87,338,376,48340
1154,2283,347,360,308,2468,23017,387,2519,2070,1946,1838,818,770,1725,1986,48410
541,841,84,80,115,945,8939,196,1043,636,896,623,535,311,597,605,48540
27,27,4,8,3,53,419,8,29,42,22,25,10,24,37,25,51610
23,42,3,9,0,65,483,10,57,51,43,31,20,6,41,42,48640
65,261,15,27,3,153,1867,42,303,198,169,86,76,26,138,137,48750
107,580,40,74,17,294,4617,120,842,506,523,195,184,47,312,328,48830
101,109,14,20,16,147,1309,24,127,87,95,65,63,47,101,94,49399
572,1187,179,156,112,1406,12524,187,1466,1127,1038,903,378,387,953,1052,50080
1724,1741,556,223,425,2686,21967,270,1837,1655,1233,2012,455,1001,1645,1851,50210
505,37,199,23,108,182,1937,13,46,43,24,99,13,239,77,79,50250
241,381,44,62,42,493,4209,76,440,366,234,300,107,129,336,363,50280
474,430,177,58,111,644,5715,74,532,419,428,466,151,302,416,417,50350
2156,1859,866,295,605,2675,24346,292,2147,1863,1491,1896,685,1188,1746,1935,50420
1190,975,451,210,282,1518,13692,233,1202,912,1066,1075,423,614,961,969,50490
23,69,3,15,7,48,659,15,91,58,80,30,27,16,45,40,50560
144,114,39,36,21,192,1507,33,111,104,62,123,32,65,98,96,51680
593,2049,95,159,133,1783,18295,251,2489,1747,1961,1238,780,301,1337,1680,62610
512,191,354,67,147,309,3599,80,235,222,152,196,75,260,179,223,51750
3206,1977,1196,337,921,3836,31840,380,2348,1905,1581,3210,677,1970,2127,2173,51820
422,215,91,41,72,342,3278,42,339,193,299,189,99,219,177,161,51890
793,1216,226,82,207,1603,12638,138,1266,1092,766,1203,271,561,966,1074,63610
237,61,57,23,29,166,1247,11,71,45,67,81,34,87,71,66,51960
13,37,4,15,3,34,421,12,45,46,33,17,13,13,43,37,52030
464,127,366,47,135,212,2779,35,123,135,81,143,42,221,154,135,52170
11,50,4,17,0,33,413,11,47,44,32,23,12,5,35,35,52240
19,32,0,11,0,29,334,17,36,46,22,18,9,8,26,26,52310
364,100,128,33,98,292,2226,17,68,105,63,179,35,217,141,127,79399
21,50,0,12,3,42,439,13,43,37,35,28,15,11,40,30,52100
5,3,4,3,0,12,102,0,14,14,10,4,8,0,3,3,52380
23,44,11,4,4,49,480,10,56,48,36,23,15,12,36,42,52450
20,42,16,5,4,44,471,8,45,42,21,34,8,26,41,42,52520
72,96,10,29,6,136,1139,31,131,99,73,71,34,35,80,76,52590
433,249,92,32,86,563,4287,47,392,294,182,448,60,238,306,292,52660
74,226,22,32,15,176,2037,53,281,229,186,101,64,44,140,174,52730
103,160,26,15,37,203,1657,38,138,98,72,110,61,78,133,155,52800
127,210,29,32,15,186,1970,42,233,166,137,126,48,79,149,148,52870
76,111,31,20,11,141,1326,22,161,102,87,58,49,41,104,82,54060
16,32,9,7,3,40,389,10,38,50,20,26,14,3,31,23,54130
6361,2965,2834,497,1904,6277,52998,526,3228,3150,1846,5258,670,4001,3422,3286,54170
1888,1266,758,174,547,2250,18872,220,1411,1307,843,1829,292,1075,1263,1380,54200
4,41,7,5,3,21,280,8,34,26,24,9,13,5,23,28,52940
9,34,0,9,0,17,258,10,30,30,23,14,7,6,21,21,53010
51,18,6,6,3,36,358,3,30,20,41,14,17,14,20,22,53080
12,40,3,7,0,36,339,11,35,37,23,14,7,11,29,22,54620
334,140,224,34,121,236,2611,27,171,147,124,173,63,211,144,143,53150
368,51,194,12,122,159,1692,9,41,44,15,106,18,173,65,50,53220
264,419,81,68,62,540,4731,64,475,364,320,384,130,172,381,371,53290
85,68,18,16,15,103,873,12,61,70,46,82,20,48,67,52,53360
1147,779,527,144,292,1004,11024,230,961,632,881,725,427,662,616,682,53430
998,963,291,148,212,1460,13052,190,1258,917,878,1056,343,520,920,936,53520
86,180,20,40,10,177,1700,40,203,137,104,98,54,44,128,123,53570
16,36,15,15,3,44,475,0,48,57,39,37,13,12,41,40,53640
16,25,0,15,3,36,324,10,28,30,22,12,22,5,31,26,54760
677,761,169,111,151,1297,9988,130,817,795,612,895,228,362,784,873,54830
26,50,8,29,3,55,540,13,41,47,37,43,14,5,52,41,54900
14,43,3,7,0,37,392,9,54,38,31,20,17,12,32,24,53710
2880,2694,910,425,740,4570,36102,466,2804,2648,1792,3644,703,1675,2812,2950,53780
28,95,12,14,6,71,729,13,74,78,41,52,35,22,53,76,53920
1409,419,601,110,423,1222,9873,94,389,386,353,860,186,897,631,540,54280
69,20,12,10,8,53,387,0,13,15,6,40,11,27,24,28,55040
1973,2543,559,334,398,2498,26458,415,3430,2142,2006,1585,770,1031,1573,1697,55110
63,168,11,32,9,134,1513,27,165,135,125,96,48,46,144,121,54340
13,48,9,5,3,37,435,9,50,40,51,24,17,6,28,33,54410
9,26,5,12,0,21,206,9,8,22,8,19,3,0,18,17,54480
16,17,0,0,0,21,211,7,25,18,12,12,16,8,14,17,54970
125,375,27,48,15,371,3479,74,458,326,279,200,128,86,260,312,55180
12,28,3,0,3,30,300,12,30,16,19,16,16,3,16,42,55250
4201,2322,2497,504,1311,3408,35578,485,2654,2299,1833,2597,662,2552,2062,2130,55320
3,11,0,3,0,11,83,3,6,6,0,4,4,3,8,6,55390
76,117,18,12,9,143,1216,18,113,92,93,92,31,39,89,104,55460
9,21,11,0,0,19,182,0,16,22,10,10,5,3,16,14,55530
4,20,0,8,0,16,189,6,16,28,12,17,4,9,21,15,55880
66,58,12,15,6,114,896,9,87,71,62,79,33,21,78,70,55600
66,140,21,13,4,169,1539,35,180,145,143,114,57,48,98,131,56520
6,16,8,3,0,29,298,4,39,30,21,14,9,13,34,28,55670
1096,282,968,127,372,540,7022,76,373,297,230,348,113,593,321,324,56580
23,37,0,0,4,32,346,9,47,34,24,14,13,6,29,41,56620
409,211,314,61,119,244,3359,68,241,178,221,181,119,214,191,198,55740
8,16,6,3,0,20,194,3,21,14,17,9,6,0,22,20,55810
14,23,4,3,3,26,208,3,28,13,14,14,6,7,11,16,55950
12,23,13,6,0,16,229,0,20,27,12,10,4,4,20,24,56020
1297,796,472,118,373,1444,12390,131,979,815,562,1129,212,717,835,815,56090
3,6,3,3,0,5,87,0,15,12,6,0,6,0,7,14,56860
0,5,3,0,0,0,33,4,0,5,0,4,0,0,4,8,56160
415,407,118,75,69,538,5176,91,675,398,368,335,117,209,300,325,56230
23,58,3,9,6,41,517,12,67,64,45,21,24,9,33,43,56300
6,3,0,0,3,3,57,0,0,4,3,0,4,5,3,7,59350
11,35,14,9,0,27,324,9,36,34,18,24,9,8,23,31,56370
16,26,16,7,3,38,285,8,21,23,9,23,6,13,21,25,56450
190,561,32,38,30,611,5345,76,658,545,414,391,216,96,424,503,60410
289,879,68,84,43,770,7617,135,1053,710,752,427,342,136,553,632,60610
300,896,68,89,56,848,8285,149,1139,752,820,495,331,172,584,662,60810
18,129,0,11,3,78,908,30,144,92,102,17,36,15,54,68,61010
225,325,48,61,34,381,3774,72,402,320,307,268,128,112,249,302,56730
41,145,9,34,6,81,1269,29,176,120,115,65,51,14,85,70,56790
84,8,80,10,26,35,489,0,16,22,14,23,4,34,21,20,56930
14,23,6,11,4,25,193,5,16,18,6,11,6,5,11,13,57000
1439,319,489,254,232,841,7161,97,267,359,265,452,172,419,470,468,57080
14,58,3,3,0,45,451,6,64,38,59,28,16,6,23,32,57140
72,205,16,37,13,164,1803,31,241,152,144,115,77,40,150,141,57210
785,72,608,36,305,307,3717,19,68,69,66,177,41,373,132,109,57280
18,52,9,6,3,31,420,14,51,31,36,23,19,9,29,33,57350
102,43,16,20,10,86,717,13,60,61,38,39,18,36,44,38,57420
3445,2568,982,372,840,4381,36159,420,3096,2284,1992,3119,772,1896,2442,2469,57490
1163,86,957,41,357,436,5285,35,93,97,60,284,38,626,201,161,57560
95,355,27,29,13,352,2970,44,380,276,244,166,101,50,255,289,61210
1129,1972,368,133,270,2247,19844,225,2074,1724,1435,1760,522,791,1504,1765,61410
101,408,20,36,18,379,3673,60,516,330,362,237,147,66,258,349,61510
290,1122,68,80,54,929,9761,180,1424,945,1041,578,395,181,701,833,61610
54,332,20,25,13,197,2696,61,452,266,332,118,116,28,198,219,61810
12,40,0,7,3,35,346,12,39,42,36,19,16,3,19,31,62010
87,296,15,24,13,240,2605,73,376,226,273,161,137,41,159,212,62210
40,238,5,25,5,149,1719,35,298,190,176,48,53,20,121,129,62410
3,6,3,0,0,3,45,6,7,0,3,3,0,0,0,3,57630
559,336,188,65,158,759,5643,78,363,320,159,598,73,334,406,375,57700
18,29,3,17,3,44,349,10,39,31,18,30,15,12,26,18,57770
2139,975,1159,332,586,1590,16257,230,1117,1012,799,1091,370,1068,1060,1068,57840
7330,5560,3708,1017,2190,8163,77318,1103,6379,5582,4995,5732,2102,4355,5327,5670,57910
1119,432,634,187,273,649,7460,148,475,456,394,361,245,462,433,472,57980
3206,2482,1091,401,769,4757,36539,424,2625,2486,1715,3644,728,1811,2825,2905,58050
4,13,0,3,0,14,151,6,19,18,10,8,3,3,16,13,58190
7,18,3,6,3,32,247,12,26,22,23,12,7,3,20,25,58260
1605,1511,659,268,432,2188,19613,338,1756,1517,1215,1571,627,1068,1392,1563,62810
192,725,46,59,31,583,5812,114,786,591,528,319,208,84,434,533,63010
83,274,11,24,10,203,2244,60,320,209,211,117,81,24,167,182,63210
36,69,9,12,3,72,678,6,93,62,46,49,23,12,52,53,63410
105,149,28,25,20,155,1642,42,166,122,116,102,55,61,111,116,58330
152,372,28,38,19,406,3782,71,542,373,325,242,118,84,307,328,63810
1025,2816,286,235,222,2555,25434,427,3345,2273,2375,1616,1119,599,1877,2319,64010
291,774,64,77,66,763,7327,120,1019,693,623,549,257,162,526,616,64210
160,506,42,50,41,495,4749,88,663,469,401,308,168,69,390,409,64610
194,573,39,51,24,596,5132,75,653,499,442,346,161,109,414,480,64810
53,263,22,19,11,193,2254,44,289,226,220,139,86,25,188,225,65010
15,146,4,12,3,65,951,36,166,104,97,25,49,8,44,71,65210
209,586,31,53,29,497,5375,113,711,470,565,336,253,109,375,426,65410
152,191,13,21,15,246,1929,36,213,129,217,109,82,45,135,119,65610
458,841,107,73,106,945,8260,118,956,811,610,627,239,271,619,668,65810
6,19,0,6,3,4,140,3,18,11,12,11,5,3,7,14,58400
0,5,0,6,3,8,72,0,12,10,4,3,4,0,4,3,58470
1416,938,542,264,380,1386,13088,207,1043,882,871,969,379,735,865,950,58510
854,456,354,64,200,1112,8400,70,353,500,279,961,183,523,608,644,70200
12,37,5,11,4,25,347,8,37,40,27,21,5,4,32,26,58540
241,165,60,30,51,357,2787,20,170,163,104,310,102,174,197,195,72200
507,319,314,76,185,643,5582,47,303,305,168,664,88,397,349,367,72300
1654,683,962,197,457,1390,12810,167,828,691,654,883,368,907,802,806,58570
26,81,11,18,3,87,728,20,82,58,78,35,34,8,51,50,58610
11,14,7,5,0,21,166,8,12,10,3,9,3,11,10,15,58680
4726,3342,1463,516,1166,6541,49877,552,3517,3312,1956,5281,864,2830,3795,3786,58760
109,115,26,17,12,155,1340,31,152,102,102,90,39,71,94,59,58820
21,45,8,13,4,23,352,11,39,47,18,14,10,9,20,29,58890
7,6,7,0,3,12,101,0,9,8,9,4,3,4,7,3,59030
15388,6336,10997,920,5556,16091,129425,1179,6163,6649,4663,12913,2212,11330,8690,8368,89399
74,44,28,7,22,84,694,6,36,38,17,82,4,43,46,66,99399
5,38,4,12,0,26,287,9,29,30,29,10,9,5,22,15,59100
17,37,5,6,4,46,365,4,32,44,16,28,15,9,36,19,59170
9,10,0,0,0,15,112,0,7,14,0,11,7,6,8,11,59250
24,38,10,9,0,79,561,10,47,50,42,41,14,13,59,47,59310
9,23,4,6,4,13,157,6,16,10,8,7,3,4,9,13,59320
6,30,3,3,3,25,220,9,35,27,22,7,5,0,10,16,59330
181,132,94,25,55,293,2265,27,125,135,72,201,57,144,159,175,59340
45,35,8,12,3,55,475,11,45,35,35,23,7,18,31,36,59360
74,148,20,34,14,129,1329,21,154,108,97,73,49,31,91,87,59370
48,338,11,44,5,151,2584,72,451,273,319,74,169,24,123,193,60210
88,139,15,17,11,180,1531,44,123,104,57,120,43,53,97,140,70420
3,5,0,0,0,6,38,0,0,3,0,0,3,0,3,9,70540
24,84,7,3,0,78,668,29,65,46,13,43,25,13,61,68,70620
24,39,4,12,0,41,401,17,45,32,37,13,18,12,27,22,70700
2556,1148,1514,237,854,3125,24246,190,990,1311,854,2594,452,1791,1742,1638,71000
87,79,30,5,25,162,1202,15,78,103,21,132,19,57,126,143,71300
35,95,13,8,3,94,1007,54,107,80,50,55,47,22,78,109,72330
956,384,323,59,250,1172,8815,68,342,431,295,1232,159,620,681,652,72800
66,121,10,10,14,118,1073,26,95,95,23,70,39,22,98,81,73600
12,65,3,6,0,48,559,37,92,45,41,24,27,8,46,70,74050
43,110,8,10,9,158,1171,60,112,111,64,79,42,20,93,126,74500
6,11,5,5,7,22,160,0,10,11,9,16,4,4,12,15,74560
112,52,29,4,35,158,1027,8,35,76,12,120,12,72,94,97,74660
